FIPS,County,ST,Neighboring,UrbanPop-2010,RuralPop-2010,MedianHouseholdInc-2008-12,Elevation-ft,TotalArea-sqmi,LandArea-sqmi,WaterArea-sqmi
48471,Walker,TX,481854831348225484554840748339,36928,30933,38654,494,80150,78417,1734
48473,Waller,TX,484774818548339482014815748015,16573,26632,51576,201,51782,51343,439
48475,Ward,TX,483014849548135481034837148389,7686,2972,40222,2610,83584,83560,24
48477,Washington,TX,48473480154814948287480514804148185,15682,18036,44162,353,62175,60395,1780
48479,Webb,TX,48323481274828348311481314824748505,243797,6507,38421,491,337559,336148,1411
48481,Wharton,TX,480894801548157480394832148239,20683,20597,40988,106,109437,108615,822
48483,Wheeler,TX,48211483934817948129480874012940009,0,5410,49615,2320,91548,91452,96
48485,Wichita,TX,484874802348009480774014140033,117473,14027,45589,994,63312,62778,534
48487,Wilbarger,TX,40065401414800948023481554819748485,10572,2963,42271,1212,97789,97084,705
48489,Willacy,TX,480614826148215,14481,7653,26369,29,78427,59055,19371
48491,Williamson,TX,480534802748331482874802148453,372000,50679,70849,570,113444,111830,1614
48493,Wilson,TX,4802948187481774825548013,6068,36850,62870,400,80841,80373,468
48495,Winkler,TX,4830148475481354800335025,5821,1289,47167,2807,84127,84111,16
48497,Wise,TX,482374833748097481214843948367,16492,42635,55492,815,92258,90442,1816
48499,Wood,TX,48379482234815948063484594842348467,10827,31137,42404,390,69572,64523,5048
48501,Yoakum,TX,4807948219484454816535025,4938,2941,48611,3290,79972,79971,1
48503,Young,TX,484474802348009482374836348429,12323,6227,42008,1045,93086,91447,1639
48505,Zapata,TX,484794824748427,10719,3299,28617,491,105802,99841,5960
48507,Zavala,TX,48323482714846348325481634828348127,7236,4441,25206,581,130173,129741,433
49001,Beaver,UT,490214901749031490414902732017,2882,3747,45948,5920,259194,258988,206
49003,Box Elder,UT,49045490114905749005320071603116071,34433,15542,55918,4230,672932,574555,98377
49005,Cache,UT,490034905749033160711604116007,94983,17673,49203,4785,117302,116481,821
49007,Carbon,UT,490394901549019490474901349049,14187,7216,47240,7230,148458,147849,609
49009,Daggett,UT,4904349013490475603708081,0,1059,44792,6089,72071,69698,2373
49011,Davis,UT,4900349045490354902949057,303661,2818,69355,4340,63396,29878,33518
49013,Duchesne,UT,490074900949043490474904949051,5915,12692,55724,5510,325592,324094,1498
49015,Emery,UT,49007490194903749055490394904149047,2893,8083,51372,4070,447181,446231,949
49017,Garfield,UT,490014903149055490374902549021,0,5172,44345,6720,520825,517512,3313
49019,Grand,UT,4900749015490374904749055080850807708045,6883,2342,42208,3965,368368,367154,1214
49021,Iron,UT,4905349025490174900132017,35751,10412,42296,5601,330108,329668,440
49023,Juab,UT,3203349027490394904549049,5792,4454,53314,5300,340640,339228,1412
49025,Kane,UT,490534902149017490370401504005,3212,3913,46979,5460,410852,399023,11829
49027,Millard,UT,490014904149039490233203332017,3258,9245,47235,5160,682789,657242,25547
49029,Morgan,UT,4901149057490334904349035,3518,5951,77159,5070,61091,60920,171
49031,Piute,UT,49001490414905549017,0,1556,37273,5900,76572,75779,793
49033,Rich,UT,49005490574902949043160075602356041,0,2264,49803,6343,108636,102877,5758
49035,Salt Lake,UT,490454904949051490434902949011,1020354,9301,59626,4222,80737,74228,6509
49037,San Juan,UT,4901949015490554901749025040050401704001350450808308033081130808508077,3264,11482,40186,6036,793315,781999,11317
49039,Sanpete,UT,490074901549041490274902349049,16435,11387,46214,5740,160254,159015,1238
49041,Sevier,UT,490274903949015490554903149001,7340,13462,45599,5270,191840,191058,782
49043,Summit,UT,4903349029490354905149013490095603756041,22085,14239,86515,5550,188197,187171,1026
49045,Tooele,UT,4900349011490354904949023490573200732033,47913,10305,61933,4820,728608,694135,34473
49047,Uintah,UT,4900949013490074901549019080810810308045,17321,15267,61850,5280,450139,447969,2169
49049,Utah,UT,49045490354905149013490074903949023,499378,17186,59864,4497,214411,200345,14066
49051,Wasatch,UT,49035490434901349049,17212,6318,65012,5580,120599,117550,3048
49053,Washington,UT,49021490253201704015,117103,21012,49145,2760,242995,242636,359
49055,Wayne,UT,490414901549019490374901749031,0,2778,44821,4308,246649,246068,581
49057,Weber,UT,490034900549033490294901149045,217822,13414,54923,4350,65939,57608,8330
50001,Addison,VT,50021500275001750023500073603136115,7942,28879,57785,960,80776,76633,4143
50003,Bennington,VT,50021500255002736115360832500325011,13175,23950,48938,980,67766,67498,268
50005,Caledonia,VT,500095001950015500235001733009,7997,23230,44435,699,65754,64886,867
50007,Chittenden,VT,3603150001500115001550023,115865,40680,63900,332,61930,53658,8272
50009,Essex,VT,33007500195000533009,0,6306,37214,766,67529,66360,1170
50011,Franklin,VT,50007500155001950013,13505,34241,55051,170,69198,63371,5828
50013,Grand Isle,VT,5001136019,0,6970,60433,170,19467,8181,11286
50015,Lamoille,VT,5001150019500055002350007,0,24475,54064,699,46369,45880,489
50017,Orange,VT,5000550023500015002733009,799,28137,53627,750,69227,68703,523
50019,Orleans,VT,50011500155000550009,4004,23227,41618,766,72116,69327,2790
50021,Rutland,VT,50001500035002736115,24032,37610,48968,620,94478,92982,1496
50023,Washington,VT,5000150007500155000550017,28097,31437,57276,699,69542,68723,819
50025,Windham,VT,2501133005330195000350027,14135,30378,51113,470,79807,78531,1276
50027,Windsor,VT,50017500015002150003500253301933009,13834,42836,53124,800,97678,96934,745
51001,Accomack,VA,511312403924047,0,33164,40780,9,131004,44950,86054
51003,Albemarle,VA,510155116551079511375110951065510295112551540,54411,44559,67797,870,72612,72070,542
51005,Alleghany,VA,5104551023511635101754063540255156051580,7736,8514,46133,1245,44875,44546,330
51007,Amelia,VA,511355114751049511455104151053,0,12690,50596,440,35852,35527,325
51009,Amherst,VA,510195116351125510115103151680,11756,20597,45020,1066,47885,47393,492
51011,Appomattox,VA,510095112551029511475103751031,0,14973,50092,925,33473,33349,124
51013,Arlington,VA,1100124031240335105951510,207627,0,102459,10,2607,2597,9
51015,Augusta,VA,510035112551163510175109151165540715179051820,24752,48998,50971,1385,97086,96700,386
51017,Bath,VA,510155109151005511635402554075,0,4731,51528,2238,53458,52916,542
51019,Bedford,VA,511615102351163510095103151143510675151551680,14812,53864,56906,975,76925,75302,1623
51021,Bland,VA,511855117351197511555107154055,0,6824,42658,3300,35873,35772,100
51023,Botetourt,VA,5100551163510195116151045,11901,21247,66053,870,54591,54120,471
51025,Brunswick,VA,51117511115113551053510813713137185,4270,13164,33859,440,56938,56617,321
51027,Buchanan,VA,510515116751185211955405954047,0,24098,29821,1426,50384,50276,108
51029,Buckingham,VA,511255100351065510495101151147,0,17146,37843,300,58356,57966,390
51031,Campbell,VA,5101951009510115103751083511435168051515,21326,33516,45432,916,50733,50387,346
51033,Caroline,VA,5108551177511795109951193510575109751101,6165,22380,58044,50,53687,52751,936
51035,Carroll,VA,51077511975115551063511413717151640,858,29184,33600,2585,47764,47469,295
51036,Charles City,VA,5104151087510955112751149,0,7256,48208,40,20424,18282,2143
51037,Charlotte,VA,510315101151083511475111151117,0,12586,33562,350,47752,47527,225
51041,Chesterfield,VA,5100751145510755108751036511495105351670517305157051760,297487,18749,72363,164,43695,42330,1366
51043,Clarke,VA,510695118751061511075400354037,4277,9757,80186,580,17836,17618,218
51045,Craig,VA,510715112151161510235100554063,0,5190,47691,1325,33061,32953,108
51047,Culpeper,VA,511575106151179511775113751113,17778,28911,65567,420,38254,37923,331
51049,Cumberland,VA,510295106551075511455100751147,402,9650,43137,450,29975,29746,229
51051,Dickenson,VA,21195510275116751195,0,15903,32622,1510,33366,33053,313
51053,Dinwiddie,VA,5100751025510415108151135511495118351730,8062,19939,51582,440,50719,50372,348
51057,Essex,VA,510335109751099511195115951193,2534,8617,42446,50,28600,25712,2888
51059,Fairfax,VA,5101351107511532401724031240331100151510516005161051685,1066647,15079,109383,10,40625,39097,1528
51061,Fauquier,VA,51043511075115351179510475115751187,27714,37489,88687,291,65123,64745,378
51063,Floyd,VA,510355106751121511415115551161,0,15279,44038,2600,38129,38042,87
51065,Fluvanna,VA,5100351109510755104951029,9528,16163,71181,300,29015,28601,414
51067,Franklin,VA,510195106351089511415114351161,6048,50111,45049,1232,71155,69043,2112
51069,Frederick,VA,511715104351187540315402754065540035403751840,43246,35059,67694,760,41551,41350,201
51071,Giles,VA,51021511555112151045540555406354089,5828,11458,45231,1524,36042,35578,464
51073,Gloucester,VA,511155111951097,13038,23820,60752,70,28798,21781,7017
51075,Goochland,VA,51065511095108551087510415114551049,653,21064,82683,300,28990,28142,849
51077,Grayson,VA,5119151173511975103537005370093717151640,19,15514,31931,2385,44596,44217,378
51079,Greene,VA,5116551003511375111351139,8973,9430,58804,870,15691,15625,66
51081,Greensville,VA,510255105351183511753713151595,1590,10653,38423,100,29681,29523,158
51083,Halifax,VA,51143510315103751117370333714537077,8306,27935,35191,500,82963,81784,1179
51085,Hanover,VA,51109511775103351101511275108751075,60831,39032,76719,164,47381,46854,527
51087,Henrico,VA,510755108551127510365104151760,293832,13103,61300,164,24491,23370,1121
51089,Henry,VA,511415106751143371693715751690,21270,32881,34373,760,38438,38233,205
51091,Highland,VA,51017510155407554071,0,2321,50136,2910,41585,41516,70
51093,Isle of Wight,VA,51181511755180051620,15030,20240,64491,17,36283,31561,4722
51095,James City,VA,5103651127511995170051830,56387,10622,76767,70,17924,14244,3680
51097,King and Queen,VA,510735105751033511015112751119,0,6945,49410,50,32629,31514,1115
51099,King George,VA,5117951033510575119324017,6323,17261,82195,100,18776,17964,812
51101,King William,VA,51127510855103351097,2675,13260,63151,50,28563,27394,1169
51103,Lancaster,VA,5115951133,0,11391,49516,25,23140,13325,9815
51105,Lee,VA,511955116921013210954702547067,112,25475,31729,1510,43741,43552,189
51107,Loudoun,VA,5104351061511535105924031240212404354037,272957,39354,122068,500,52114,51556,558
51109,Louisa,VA,510655107551085511775113751003,0,33153,55765,420,51087,49630,1457
51111,Lunenburg,VA,5103751147511355102551117,0,12914,34455,440,43238,43168,69
51113,Madison,VA,5107951137510475115751139,0,13308,54510,420,32187,32068,119
51115,Mathews,VA,51073,0,8978,55590,25,25196,8593,16603
51117,Mecklenburg,VA,51083510375111151025370773718137185,7262,25465,35399,325,67923,62549,5374
51119,Middlesex,VA,510735109751057,0,10959,55625,25,21076,13031,8046
51121,Montgomery,VA,511615106351155510715104551750,70864,23528,44166,1730,38926,38701,225
51125,Nelson,VA,510095101151029510035101551163,0,15020,48888,445,47431,47086,345
51127,New Kent,VA,510875103651095510855110151097,0,18429,70978,50,22347,20973,1374
51131,Northampton,VA,51001,0,12389,34304,11,79525,21161,58364
51133,Northumberland,VA,511935115951103,0,12330,51911,25,28562,19130,9433
51135,Nottoway,VA,5100751053510255111151147,7555,8298,38209,440,31605,31439,166
51137,Orange,VA,511135104751177511095100351079,14136,19345,59501,420,34326,34078,248
51139,Page,VA,511655107951113511575118751171,4770,19272,43745,1200,31408,31086,322
51141,Patrick,VA,510355106351067510893716937171,0,18490,35599,760,48586,48310,277
51143,Pittsylvania,VA,5108951067510195103151083371573703351590,9126,54380,42229,410,97818,96894,923
51145,Powhatan,VA,51049510755104151007,91,27955,76495,180,26235,26022,213
51147,Prince Edward,VA,51011510295104951007511355111151037,8597,14771,36743,450,35384,34996,388
51149,Prince George,VA,5105351041510365118151183516705173051570,16647,19078,63031,40,28184,26516,1669
51153,Prince William,VA,51059511075106151179240175168351685,385254,16748,96160,291,34847,33640,1207
51155,Pulaski,VA,51035511975102151071511215106351750,18516,16356,43072,1730,32959,31986,974
51157,Rappahannock,VA,5113951187510615104751113,0,7373,57837,420,26703,26623,80
51159,Richmond,VA,51193511335110351057,0,9254,48958,25,21636,19149,2487
51161,Roanoke,VA,5112151045510235101951067510635177051775,75249,17127,61686,1149,25125,25052,73
51163,Rockbridge,VA,510235101951009511255101551017510055153051678,1865,20442,45859,1060,60097,59756,341
51165,Rockingham,VA,5101551003510795113951171540715403151660,31035,45279,51721,1400,85336,84909,427
51167,Russell,VA,51169511955105151027511855117351191,3414,25483,32637,1735,47675,47382,293
51169,Scott,VA,51105511955116751191470674707347163,4143,19034,37544,1525,53864,53553,311
51171,Shenandoah,VA,5116551139511875106954031,14032,27961,49953,887,51217,50878,340
51173,Smyth,VA,511915116751185510215119751077,7960,24248,34394,1735,45229,45093,136
51175,Southampton,VA,3709137131510815109351800511815118351620,378,18192,46703,80,60233,59914,318
51177,Spotsylvania,VA,51047511795103351085511095113751630,82829,39568,79402,100,41426,40150,1276
51179,Stafford,VA,5103351047510615109951153511772401751630,103485,25476,96355,100,27993,26896,1097
51181,Surry,VA,51149511835117551093,0,7058,52955,70,31031,27895,3136
51183,Sussex,VA,5108151053511495118151175,0,12087,39603,40,49283,49022,261
51185,Tazewell,VA,510275116751173510215404754055,21688,23390,36080,3300,51997,51885,113
51187,Warren,VA,511715106951043510615115751139,18634,18941,61693,550,21674,21347,328
51191,Washington,VA,5116951167511735107747163470913700951520,15543,39333,42844,1735,56599,56097,502
51193,Westmoreland,VA,5109951033510575115951133,3693,13761,48672,100,25297,22937,2359
51195,Wise,VA,5110551169511675105121095211332119551720,17961,23491,35120,1510,40523,40319,204
51197,Wythe,VA,5117351021511555103551077,7212,22023,40564,2450,46465,46182,282
51199,York,VA,5109551650517005183051735,61471,3993,82454,70,21496,10478,11018
51510,Alexandria City,VA,51059510132403311001,139966,0,83996,10,1547,1503,44
51515,Bedford City,VA,5101951031,6094,128,35863,NA,690,688,2
51520,Bristol City,VA,5119147163,17828,7,30636,NA,1315,1301,14
51530,Buena Vista City,VA,51163,6391,259,35921,NA,679,670,9
51540,Charlottesville City,VA,51003,43475,0,44535,NA,1026,1024,2
51550,Chesapeake City,VA,517105180051810517403702937053,205261,16948,70244,22,35086,34080,1006
51560,Clifton Forge City,VA,51005,NA,NA,NA,NA,NA,NA,NA
51570,Colonial Heights City,VA,510415114951730,17411,0,51612,NA,781,752,29
51580,Covington City,VA,51005,5961,0,36067,NA,567,547,20
51590,Danville City,VA,5114337033,41111,1944,30505,NA,4395,4293,101
51595,Emporia City,VA,51081,5553,374,29093,NA,697,689,7
51600,Fairfax City,VA,51059,22565,0,98563,NA,628,624,4
51610,Falls Church City,VA,51059,12332,0,122844,NA,200,200,0
51620,Franklin City,VA,5109351175,8303,279,33447,NA,835,821,14
51630,Fredericksburg City,VA,5117751179,24003,283,45951,NA,1051,1044,7
51640,Galax City,VA,5103551077,6076,966,24059,NA,828,824,4
51650,Hampton City,VA,51199517005173551710,137094,342,51584,25,13630,5141,8489
51660,Harrisonburg City,VA,51165,48914,0,36853,NA,1748,1742,6
51670,Hopewell City,VA,5104151149,22591,0,37029,NA,1080,1028,52
51678,Lexington City,VA,51163,7042,0,36511,NA,252,250,3
51680,Lynchburg City,VA,510095101951031,73534,2034,37774,NA,4965,4913,52
51683,Manassas City,VA,5115351685,37821,0,70634,NA,994,988,6
51685,Manassas Park City,VA,510595115351683,14273,0,71810,NA,253,253,0
51690,Martinsville City,VA,51089,13821,0,28840,NA,1101,1096,5
51700,Newport News City,VA,511995109551800,180668,51,50744,25,11948,6871,5076
51710,Norfolk City,VA,51550516505174051810,242803,0,44164,22,9635,5412,4223
51720,Norton City,VA,51195,3856,102,38983,NA,752,748,3
51730,Petersburg City,VA,51041510535114951570,31737,683,35126,NA,2318,2293,25
51735,Poquoson City,VA,5119951650,11360,790,85033,NA,7843,1532,6311
51740,Portsmouth City,VA,515505171051800,95535,0,46269,NA,4673,3365,1308
51750,Radford City,VA,5112151155,15927,481,29757,NA,1021,987,34
51760,Richmond City,VA,5104151087,204214,0,39445,NA,6246,5981,266
51770,Roanoke City,VA,5116151775,97026,6,38265,NA,4290,4256,34
51775,Salem City,VA,5116151770,24802,0,47776,NA,1454,1444,10
51790,Staunton City,VA,51015,22869,877,42918,NA,2004,1998,6
51800,Suffolk City,VA,5117551093515505170051740370733709137029,66287,18298,66479,80,42909,40017,2892
51810,Virginia Beach City,VA,515505171037053,431273,6721,65980,22,49734,24902,24832
51820,Waynesboro City,VA,51015,20475,531,43884,NA,1520,1504,16
51830,Williamsburg City,VA,5109551199,14068,0,50865,NA,918,902,16
51840,Winchester City,VA,51069,26203,0,45959,NA,925,923,2
53001,Adams,WA,53021530255304353075,11207,7521,41798,1630,192985,192498,487
53003,Asotin,WA,53023530754106316069,20184,1439,42305,1413,64064,63621,443
53005,Benton,WA,53021530255303953071530774104941059,156659,18518,60300,392,176000,170038,5962
53007,Chelan,WA,530575306153033530375301753047,52728,19725,50582,634,299388,292052,7336
53009,Clallam,WA,530315305553029,46089,25315,46431,30,267064,173833,93231
53011,Clark,WA,53015530594100941051,366797,58566,58764,210,65623,62900,2723
53013,Columbia,WA,530715302153075530234105941063,2681,1397,45417,1557,87348,86863,485
53015,Cowlitz,WA,5306953041530595301141009,73068,29342,46568,12,116621,114013,2609
53017,Douglas,WA,5300753047530435302553037,28210,10221,52285,2620,184866,181926,2939
53019,Ferry,WA,530435304753065,0,7551,35742,1644,225732,220316,5416
53021,Franklin,WA,530255300153075530135307153005,67741,10422,51770,392,126541,124217,2324
53023,Garfield,WA,53013530755300341063,0,2266,51325,1810,71821,71069,753
53025,Grant,WA,5303753017530475304353001530215300553077,54587,34533,45531,1360,279132,267951,11181
53027,Grays Harbor,WA,5303153045530675304153049,43596,29201,42440,10,222441,190203,32238
53029,Island,WA,5305553009,41690,36816,59500,50,51737,20845,30893
53031,Jefferson,WA,530095304553027,12705,17167,46870,100,218314,180370,37944
53033,King,WA,5305353077530375300753061,1869311,61938,71175,19,230687,211557,19130
53035,Kitsap,WA,530455305353067,209089,42044,61776,162,56592,39494,17098
53037,Kittitas,WA,530535303353007530175302553077,24526,16389,41739,1930,233294,229727,3566
53039,Klickitat,WA,4102141027410494105541065530055305953077,8084,12234,40171,222,190416,187131,3284
53041,Lewis,WA,5304953027530675305353077530595301553069,29688,45767,43490,185,243625,240280,3345
53043,Lincoln,WA,5300153025530175304753019530655306353075,0,10570,45563,2460,233935,231049,2886
53045,Mason,WA,53031530275306753035,22036,38663,48878,22,105102,95942,9160
53047,Okanogan,WA,53073530575300753017530255304353019,8229,32891,40924,1755,531479,526798,4681
53049,Pacific,WA,530695304153027,7370,13550,40873,10,122338,93266,29073
53051,Pend Oreille,WA,53063530651601716021,2196,10805,37582,2135,142524,139999,2525
53053,Pierce,WA,530675304153077530375303353035,742814,52411,59105,267,180644,166951,13693
53055,San Juan,WA,530095302953073,0,15769,52712,30,62106,17391,44715
53057,Skagit,WA,53073530475300753061,82975,33926,56457,50,192013,173120,18893
53059,Skamania,WA,53011530155304153077530394102741051,0,11066,55319,1145,168381,165568,2813
53061,Snohomish,WA,530575300753033,636156,77179,68338,60,219630,208727,10902
53063,Spokane,WA,53051530655304353075160171605516009,406797,64424,49615,2349,178070,176379,1691
53065,Stevens,WA,53019530435306353051,9052,34479,42746,1874,254075,247776,6299
53067,Thurston,WA,5304553027530415305353035,199317,52947,63224,195,77350,72196,5154
53069,Wahkiakum,WA,5304953041530154100741009,0,3978,45335,12,28718,26338,2381
53071,Walla Walla,WA,530055302153075530134105941063,48715,10066,47166,949,129902,127013,2889
53073,Whatcom,WA,530575304753055,149098,52042,51639,140,250347,210686,39661
53075,Whitman,WA,5306353043530015302153071530135302353003160091605716069,32449,12327,34169,1955,217760,215909,1851
53077,Yakima,WA,5304153059530395300553025530375303353053,186025,57206,44256,1064,431128,429540,1588
54001,Barbour,WV,540335407754083540915409354097,2700,13889,36087,1281,34285,34106,179
54003,Berkeley,WV,2404351043510695403754065,71225,32944,53332,537,32156,32114,41
54005,Boone,WV,5403954043540455408154109,4579,20050,42819,675,50320,50154,165
54007,Braxton,WV,540135401554021540415406754101,0,14523,31623,835,51627,51081,546
54009,Brooke,WV,39081421255402954069,13929,10140,42307,668,9257,8920,337
54011,Cabell,WV,390533908754043540535407954099,75554,20765,37238,827,28802,28102,700
54013,Calhoun,WV,540075401554021540855408754105,0,7627,29282,964,28068,27925,143
54015,Clay,WV,540075401354019540395406754087,0,9386,33165,720,34382,34190,191
54017,Doddridge,WV,540215403354041540855409554103,0,8202,31261,750,32048,31972,76
54019,Fayette,WV,540815408954025540395406754015,19395,26644,34891,1991,66835,66155,680
54021,Gilmer,WV,5400754013540175404154085,3415,5278,35524,840,34008,33850,158
54023,Grant,WV,2402354027540315405754071540835409354077,2545,9392,40250,1013,48029,47737,291
54025,Greenbrier,WV,5100551017540195406354067540755408954101,10738,24742,36539,2450,102451,101957,494
54027,Hampshire,WV,240015106954023540315405754065,0,23964,28573,640,64463,64025,438
54029,Hancock,WV,3902939081420074212554009,21378,9298,37465,750,8797,8261,536
54031,Hardy,WV,51069511655117154023540275405754071,2732,11293,34184,960,58448,58231,217
54033,Harrison,WV,54001540175404154049540915409754103,43498,25601,41799,977,41652,41601,51
