"crop","coef","mean","serr"
"Soybeans","gdds",0.00037609793130998685,1.1280724803780922e-5
"Soybeans","kdds",-0.003169880503868645,5.6561510938518256e-5
"Soybeans","wreq",-0.500354708662971,0.013086487376104797
"Wheat","gdds",-0.0007091527391350679,1.3426181596027564e-5
"Wheat","kdds",0.00042290727966655807,3.344965954280308e-5
"Wheat","wreq",-0.13716574432656986,0.019785924395760768
"Wheat.Winter","gdds",-0.0002477636345567004,7.592218665693924e-6
"Wheat.Winter","kdds",-0.0007493261657077709,6.232156011378387e-5
"Wheat.Winter","wreq",-0.1485679817738403,0.01853282534377932
"Barley","gdds",5.822783769548921e-5,3.7041223506473386e-5
"Barley","kdds",-0.0008731732240035799,3.152169201725545e-5
"Barley","wreq",-0.4500183694703595,0.029918530276733902
"Barley.Winter","gdds",0.0001177424671334701,1.1338351841260717e-5
"Barley.Winter","kdds",-0.0011273344525097402,3.432024125620445e-5
"Barley.Winter","wreq",-0.5877242537362782,0.030717909869734803
"Maize","gdds",0.00024494579385216314,1.330178267735497e-5
"Maize","kdds",-0.004705173486397174,9.485421238874057e-5
"Maize","wreq",-0.22186519348398526,0.01629275628231786
"Cotton","gdds",0.0008174563345998266,3.3257146890231915e-5
"Cotton","kdds",-0.004644980204137714,0.00015169009988742394
"Cotton","wreq",0.3497077167887539,0.04170823003947562
"Rice","gdds",0.0002651350586505926,3.424138692574674e-5
"Rice","kdds",-0.001783661663667368,8.359575123980124e-5
"Rice","wreq",0.27763988510873644,0.016829428019984674
